CID,SMILES,Hf /kJmol-1,Hf_spread /kJmol-1,density / gcm-3,det_velocity / kms-1,det_pressure / Gpa
C4241,C1CC(N=O)CCC1,,,,,
C5185,C1CC(C=CC)CCC1,,,,,
C5359,CC=Cc1c(O)cccc1,,,,,
C1791,CC(CCCCC(=O)C)N=[N+]=[N-],,,,,
C1411,CC1CCCC(C=C)C1,,,,,
C3279,C(C#C)O,,,,,
C3726,C(C)N=O,,,,,
C5950,C1C(C=CC)CCCC1,,,,,
C1052,CCC(=C)c1cc(O)ccc1,,,,,
C3205,C1CCCC(C=NO)C1,,,,,
C1851,C(#C)C(=O)C,,,,,
C1723,C#CC(=O)N,,,,,
C3753,CN=O,,,,,
C1967,C(#C)O,,,,,
C3485,CC(C)([N+](=O)[O-])C=CN,,,,,
C5474,CC1CCCC(Cc2ccccc2)C1,,,,,
C2767,C1C(N=[N+]=[N-])C(N)C2CCCC(CCC)C2C1,,,,,
C2166,CC1(N=[N+]=[N-])C(C=CO)CCCC1,,,,,
C5356,CCCc1ccc2ccccc2c1,,,,,
C3248,C(CC)c1ccc2c(c1)cccc2,,,,,
C1741,C(C)c1cccc2c1cccc2,,,,,
C2865,CC(=C)Cc1ccccc1,,,,,
C580,C(C)c1cccc2c1cccc2,,,,,
C798,C(C=C)(O[N+](=O)[O-])c1ccc(C)cc1,,,,,
C1160,CC=CC=C,,,,,
C2036,C(C)c1ccc2ccccc2c1,,,,,
C2163,C(C)c1ccc2c(c1)cccc2,,,,,
C6007,C(C=C)c1ccccc1C,,,,,
C2377,C(C(C)c1ccc2ccccc2c1)O[N+](=O)[O-],,,,,
C5512,C(C#C)N,,,,,
C4562,CC(=C)c1cccc(C)c1,,,,,
C1781,CC(=C)c1cccc(C)c1,,,,,
C1010,CC(=C)c1cccc(C)c1,,,,,
C6554,C(=C)C1CCCCC1Cc1ccccc1C,,,,,
C416,Cc1ccc2c(c1)cccc2,,,,,
C5144,Cc1ccc2ccccc2c1,,,,,
C2479,Cc1cccc2c1cccc2,,,,,
C3695,Cc1cccc2c1cccc2,,,,,
C5007,C1CCC2C(N=[N+]=[N-])C(c3cc(O)ccc3)CCC2C1,,,,,
C4338,C(C#C)N,,,,,
C5261,CC=Cc1cccc(C)c1,,,,,
C5853,C(C(=C)C=C)c1c(O)cccc1,,,,,
C736,C=Cc1cccc(C)c1,,,,,
C4430,CC(=C)Cc1ccccc1,,,,,
C2835,C(C=C)Cc1ccccc1,,,,,
C3121,CC(=C)c1ccccc1C,,,,,
C1996,CC1CCCCC1c1cccc2c1cccc2,,,,,
C597,CC1(c2ccc3ccccc3c2)CCCCC1,,,,,
C523,C(C=C)C=C,,,,,
C1981,C=CCC=C,,,,,
C6671,C(CC)CC#C,,,,,
C5775,CC(=C)C=C,,,,,
C324,C(C#C)O[N+](=O)[O-],,,,,
C185,C(C#C)CC,,,,,
C6355,C1CC(c2ccc3c(c2)cccc3)CCC1,,,,,
C1748,C(#C)c1c(O)cccc1,,,,,
C2149,C(#C)c1ccccc1O,,,,,
C5527,C(#C)c1c(O)cccc1,,,,,
C3118,C(#C)c1ccccc1O,,,,,
C748,C1(c2ccc3ccccc3c2)CCCCC1,,,,,
C2484,C1C(c2ccc3ccccc3c2)CCCC1,,,,,
C5284,CC1(c2ccc3ccccc3c2)CCCCC1,,,,,
C2104,C1CCCC(C#C)C1,,,,,
C3116,C(C(C)N=O)CC=C,,,,,
C4050,C(C)C#C,,,,,
C3822,C(#C)c1ccccc1O,,,,,
C1370,C(#C)c1c(O)cccc1,,,,,
C1397,C1CCCC(c2ccc3c(c2)cccc3)C1,,,,,
C4990,C1(c2ccc3c(c2)cccc3)CCCCC1,,,,,
C410,C1CCCC(c2ccc3c(c2)cccc3)C1,,,,,
C3158,CC=CC=CC,,,,,
C2769,CC1(CC#C)CCCCC1,,,,,
C1935,C1CCCC(C#C)C1,,,,,
C4369,C1C(C#C)CCCC1,,,,,
C3229,C(#C)C,,,,,
C5176,C(#C)C,,,,,
C2105,C1CCC(CC2CCC(N=[N+]=[N-])CC2)CC1N=O,,,,,
C5031,C(C#C)C1CCCCC1,,,,,
C2027,C(#C)C1CCCC2(C)C1CC(N=NO)CC2,,,,,
C1023,CC1CC(CC#C)CCC1,,,,,
C2665,C(C#C)c1ccc(O)cc1,,,,,
C110,C1(CC#C)CCCCC1,,,,,
