MOL,exp e /kJ mol,mace e /eV,M062X H /Eh,wB97X-V H /Eh,CAM-B3LYP H /Eh,wB97XD-D3BJ /Eh,MN15 H /Eh,B2PLYP H /Eh,SMILES,REF
5-methyl-3-isoxazolamine,20.0,-9274.887218318,-340.60054584,-340.63501356,-340.58266926,-340.86625822,-340.348043,-340.5133417,CC1=CC(N)=NO1,NIST
formaldoxime,20.0,-4622.6999940332,-169.76254766,-169.77562296,-169.76504424,-169.88334152,-169.64402835,-169.72676828,C=NO,ATcT
propene,20.06,-3208.1250318758,-117.80030633,-117.82481058,-117.79170095,-117.93159025,-117.70260646,-117.76623001,CC=C,ATcT
4-Quinolinol,20.8,-12989.0027755462,-476.98691357,-477.02896558,-476.93003221,-477.37172484,-476.61191373,-476.85329704,OC1=CC=NC2=C1C=CC=C2,NIST
ethanimine,24.0,-3645.4970765164,-133.86444354,-133.88556318,-133.85857491,-133.99256389,-133.7572672,-133.82970907,N=CC,NIST
2_4_6-tnt,24.1,-24095.890544881,-884.89975224,-884.96402784,-884.88384459,-885.48817412,-884.28462718,-884.72625659,CC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,NIST
ethylbenzene,29.8,-8460.6585376967,-310.677232,-310.72751247,-310.63527662,-310.9876615,-310.41781315,-310.58236749,c1ccccc1CC,ATcT
nitromethylbenzene,30.7,-12959.3775668611,-475.90566518,-475.95364244,-475.87529194,-476.27758044,-475.54816593,-475.79217939,[O-][N+](=O)Cc1ccccc1,NIST
4-nitrotoluene,30.9,-12959.5273188443,-475.90952171,-475.95790411,-475.87966697,-476.28297857,-475.55359297,-475.79603075,CC1=CC=C(C=C1)[N+]([O-])=O,NIST
5-ethyl-2-methyl-pyridine,34.9,-9967.5369930139,-366.01473266,-366.07186783,-365.97259382,-366.3671856,-365.71482661,-365.90832582,CCc1ccc(C)nc1,NIST
cyclopentene,35.66,-5315.3216450689,-195.17651918,-195.21660503,-195.15453562,-195.38539899,-195.01562708,-195.11572264,C1CC=CC1,NIST
4_5-Dihydro-3-nitro-isoxazole,39.0,-12297.9610687371,-451.63116656,-451.66814452,-451.63036605,-451.9370647,-451.32080654,-451.5399998,[O-][N+](=O)C1=NOCC1,NIST
Cyclobutylamine,41.0,-5784.4222679317,-212.40609288,-212.44831559,-212.38913698,-212.62488828,-212.23694708,-212.34200051,NC1CCC1,NIST
p-Aminotoluene,41.8,-8898.01122642,-326.74221666,-326.78777793,-326.70332207,-327.04817364,-326.4762229,-326.64565988,Cc1ccc(N)cc1,NIST
n-methylmethanimine,44.0,-3645.1023785251,-133.85144194,-133.8718309,-133.84536716,-133.97840086,-133.74477837,-133.81630494,CN=C,NIST
Propanenitrile,51.46,-4683.2329445175,-171.9733977,-171.99544085,-171.95747748,-172.12955067,-171.82994458,-171.9269809,CCC#N,NIST
ethene,52.39,-2138.334201424,-78.51759731,-78.53312435,-78.51286463,-78.60428903,-78.45277155,-78.49628593,C=C,ATcT
o-Aminotoluene,53.2,-8898.034586356,-326.74456408,-326.7884904,-326.70449123,-327.04887078,-326.47751655,-326.64707966,Cc1ccccc1N,NIST
cyclopropane,53.93,-3207.8350517757,-117.79297913,-117.81720044,-117.77902823,-117.9229711,-117.69499459,-117.75220385,C1CC1,NIST
trinitrobenzene,54.8,-23026.335147755,-845.62674608,-845.68003398,-845.61627795,-846.17066424,-845.04471946,-845.46545224,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],NIST
p-nitroaniline,55.2287,-13396.831256751,-491.97485574,-492.01611619,-491.94775504,-492.34110793,-491.6111849,-491.85914363,C1=CC(=CC=C1N)[N+](=O)[O-],ATcT
n-ethyl-benzenamine,56.1,-9967.3300917932,-366.00937336,-366.06259339,-365.96531387,-366.35781363,-365.7101784,-365.89859843,CCNc1ccccc1,NIST
1_4-dinitro-piperazine,58.0,-18427.9777300481,-676.74807822,-676.80946447,-676.74286286,-677.2201066,-676.27822222,-676.60439395,[O-][N+](=O)N1CCN(CC1)[N+]([O-])=O,NIST
m-Aminotoluene,61.1,-8898.03417952,-326.74361478,-326.7890894,-326.70559951,-327.04941185,-326.47636843,-326.64681183,Cc1cccc(N)c1,NIST
m-nitroaniline,62.3415,-13396.77328414,-491.97140888,-492.01305409,-491.94401315,-492.33795796,-491.60733299,-491.85609597,C1=CC(=CC(=C1)[N+](=O)[O-])N,ATcT
nitrobenzene,62.5,-11889.7182307368,-436.6269338,-436.66487204,-436.60138755,-436.9542618,-436.3035916,-436.52601846,C1=CC=C(C=C1)[N+](=O)[O-],ATcT
Diethylcyanamide,63.5,-8328.8377481699,-305.84757847,-305.89135555,-305.82034297,-306.13154077,-305.59916669,-305.76076935,CCN(CC)C#N,NIST
2_5-dimethylpyridine,66.4,-8897.8866060941,-326.73735924,-326.78517956,-326.69928753,-327.04591296,-326.47010669,-326.64204901,Cc1ccc(C)nc1,NIST
n_n-dimethyl-4-benzamine,67.3,-15535.5658996221,-570.51168019,-570.57126041,-570.47355872,-570.96652441,-570.08445885,-570.36905401,CN(C)c1ccc(cc1)[N+]([O-])=O,NIST
2-ethyl-1H-imidazole,68.3,-8297.53273453,-304.69829426,-304.73831671,-304.66912318,-304.96862459,-304.45605378,-304.61071147,CCc1[nH]ccn1,NIST
