MOL,exp e /kJ mol,mace e /eV,SMILES,REF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Aminopropionitrile,89.75,-6189.9165408439,NCCC#N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Aminopyridine,144.2,-8265.240283549,Nc1cccnc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Butenenitrile,157.7,-5719.9718235734,C=CCC#N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Pyridinecarbonitrile,277.9,-9270.1449474823,N#Cc1cccnc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Quinolinamine,208.4,-12447.7360381939,Nc1cnc2ccccc2c1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-aminophenol,-98.6,-9876.538686066,NC1=CC=CC(O)=C1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-methylpyridine,106.1,-7828.0198688509,Cc1cccnc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-pyridinol,-43.7,-8806.4524382526,OC1=CC=CN=C1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_4-dimethylpyridine,70.0,-8897.8262809748,Cc1ccncc1C,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_5-dimethylpyridine,72.8,-8897.810591394,Cc1cncc(C)c1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Aminobenzoic_acid,-293.9,-12963.0184577416,NC1=CC=C(C=C1)C(O)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Aminobutanoic_acid,-441.0,-9882.2425616859,NCCCC(O)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Nitrocatechol,-290.0,-15986.1199898053,Oc1ccc(cc1O)[N+]([O-])=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Pyridinecarbonitrile,283.5,-9270.1286548575,N#Cc1ccncc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Quinolinol,20.8,-12989.0027755462,OC1=CC=NC2=C1C=CC=C2,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-methylpyridine,102.2,-7828.0436284248,Cc1ccncc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-nitro-morpholine,-131.0,-13400.7337774894,[O-][N+](=O)N1CCOCC1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
